friends_count,followers_count,cluster number
205,447,0
203,112,0
414,603,0
376,314,0
250,947,0
515,532,0
325,305,0
206,95,0
2807,11789,0
1147,2080,0
3,3,0
402,36,0
734,4302,0
979,1030,0
758,1058,0
53,689,0
103,104,0
113,118,0
426,309,0
39,3,0
43,2,0
614,233,0
95,7649,0
32,1,0
635,495,0
1994,906,0
72,1397,0
1217,377,0
747,975,0
171,178,0
10424,9834,0
647,813,0
0,3,0
225,269,0
4,0,0
468,499,0
335,309,0
103,110,0
674,1109,0
678,130,0
50,53,0
4722,5523,0
398,424,0
36,32,0
720,1322,0
41,48,0
510,574,0
225,135,0
172,490,0
0,1,0
237,278,0
1765,470,0
964,1034,0
2357,4280,0
2025,691,0
925,2126,0
1502,1279,0
20,265,0
305,342,0
163,423,0
941,659,0
343,461,0
425,697,0
522,491,0
555,158,0
394,539,0
1111,2547,0
1000,3285,0
376,707,0
724,1784,0
171,926,0
949,1275,0
319,356,0
343,332,0
85,54,0
668,700,0
142,25,0
105,124,0
0,3,0
28557,42229,0
63,4,0
255,118,0
1443,1633,0
211,28,0
7540,10349,0
655,571,0
50,5,0
237,254,0
144,58,0
317,256,0
2993,4300,0
852,1024,0
22,19,0
2117,8029,0
118,49,0
360,452,0
83,67,0
176,374,0
305,381,0
261,171,0
625,737,0
408,260,0
379,618,0
37,145,0
2,2,0
741,1021,0
200,331,0
281,136,0
207,145,0
261,137,0
260,431,0
151,754,0
277,397,0
36,184,0
731,578,0
65,291,0
323,5813,0
1216,933,0
187,515,0
312,510,0
110,119,0
73,40,0
151,150,0
1760,1709,0
2343,2375,0
364,231,0
157,172,0
1095,2682,0
129,61,0
356,253,0
390,741,0
73,183,0
236,266,0
278,242,0
94,163,0
808,658,0
50,61,0
183,205,0
683,845,0
1559,1874,0
555,733,0
1532,509,0
2356,2702,0
1182,2017,0
199,188,0
319,453,0
808,658,0
245,258,0
3787,8134,0
290,270,0
391,520,0
292,1380,0
198,238,0
308,640,0
64,834,0
40,373,0
419,3303,0
130,186,0
244,207,0
24553,31257,0
182,86,0
248,407,0
130,222,0
1766,2053,0
24,3,0
4273,2363,0
42486,48531,0
555,147,0
5098,5301,0
27,162,0
148,632,0
644,569,0
845,159,0
128,134,0
27,10,0
401,3767,0
342,327,0
565,554,0
233,333,0
1856,864,0
51,2925,0
145,56,0
35,46,0
359,155,0
173,33,0
33,6,0
348,568,0
530,440,0
255,560,0
576,2086,0
198,217,0
359,146,0
207,233,0
2116,2140,0
1419,1406,0
861,2393,0
628,238,0
1678,1647,0
360,471,0
207,713,0
154,195,0
459,683,0
2087,619,0
1122,613,0
48,18,0
196,15860,0
99,419,0
70,187,0
377,243,0
2066,496,0
58,66,0
187,101,0
236,278,0
1799,2020,0
230,340,0
275,265,0
838,1539,0
647,1523,0
222,547,0
4316,6054,0
123,138,0
194,257,0
121,58,0
285,279,0
1203,1089,0
693,572,0
239,283,0
595,521,0
963,2454,0
149,61,0
373,396,0
1665,1635,0
237,1461,0
10804,10425,0
